PID,officesHeld,head_of_org,on_committee,gov_office
LR7L-KSR,"President, Boston State Hospital League.",1,0,0
GSVX-HZ3,"Director, Bangor Chapter, 1949-55, Southern Maine Chapter, since 1956, National Association of Cost Accountants (now called National Association of Accountants); treasurer, Maine Republican State Committee, 1952-58; member, Alumni Council, Colby College, 1958.",1,0,0
LB9F-S9M,"Director, Spring Grove Cemetery Association, Terminal Warehouse, Inc., Ohio Mechanics Institute, Allied construction industries ( all of Cincinnati); trustee, Cincinnati Summer Opera Association.",1,1,0
GSVB-74M,"President, National Association for Nursery Education, 1945-47; vice-president, Association for Childhood Education International, 1947-49.",1,0,0
GSVK-M36,"Tresurer, Village of Shorewood Hills, since 1946; secretary, treasurer, Madison General Hospital Association, since 1951.",0,0,0
GSVB-2MN,"Trustee, The Loomis Institute, 1952-58; director, American Institute of the Graphic Arts, since 1957.",1,1,0
LVFT-MLZ,"Member board of directors, Dennison Manufacturing Company, since 1949; director and officer, Framingham Community Chest, 1949-57' director, Framingham Chamber of Commerce, 1955-57; member board of directors, since 1954, president, 1958, Cambridge School of Weston; President, United Fund of Framingham, 1957-59. member, Industrial Research Institute.",1,1,0
GSVJ-PQW,"Lecturer on marketing, Hofstra college, Hemapsted, N.Y., 1949-51.",0,0,0
LVQD-5TW,"Educational chairman, 1953-55, vice-president, 1955-57, Uptown Chapter, Toastmasters International, Chicago, Ill.; vice-president and program chairman, Dickens Fellowship, Chapter 33, Chicago, Ill., 1954-59; recording secretary, Tri-Park Community Council, Chicago, Ill., 1956-58; merit badge counsellor, Arrowhead District, Boy Scouts of America, Chicago, Ill",1,0,0
GSV8-LR2,"Director, South Shore Playhouse Association, since 1950; President, South Shore Music Circus, 1955-56.",1,0,0
GSVK-769,"Chairman of the board, Plymouth Golf Ball Company; director, United Fund, Community Chest; director and former campaign chairman, Pennsylvania Chapter, American Red Cross.",1,0,0
LBTZ-QH1,"Law Assistant, District Attorney of New York Country, 1938-39; Assistant U.S. Attorney, Southern District of New York, 1939-42; Chief, Special Projects Section director of acting director, and deputy administrator, Foreign Travel Control, Alien Enemy control Unit, War Division, U.S. Dept. of Justice, Washington, D.C., 1942-46; member Legal Staff, U.S. Atomic energy Commission, 1947; chief trial attorney and special assistant to Attorney General, Office of Alien Property, U.S. Dept. of Justic, 1948-50; associate Counsel, Special Senate Committe to investigate Organized Crime in Interstate Commerce (Kefauver Committee), 1950-51.",1,0,0
LTZK-HY7,"Writer, Harvard News Office, 1934-41; correspondent, Boston Evening Transcript, 1937-41; U.S. Navy, 1941-46; assistant counselor for Veterans 1946-47, counselor for Veterans, 1947-52, assistant to provost, 1949-52, director, Financial Aid Office, 1950-58, director, since 1958, Harvard College; chairman, College Scholaeship of the College Entrance Examination Board, 1953-56; member, board of trustees, National Scholarship Service and Fund for Negro Students, since 1956; member, Andover Alumni Council, 1956-58; Andover Charter trustee, since 1958.",1,1,0
L1D7-15Z,"Trustee, North Avenue Savings Bank of cambridge, The Margaret Fuller House; Cambridge YMCA; former director and vice-president, Cambridge Boy Scouts.",1,1,0
GSVZ-QCB,"Chairman, Association of Technical Teachers in Norway, 1948-52.",1,0,0
GSVC-QML,"Secretary, California Association of Labor Law Officers, 1955—-56; president, San Ramon Valley County Water District, 1956-59.",1,0,0
GSVK-81D,"Treasurer, St. Andrew’s Episcopal Church, Wellesley, Mass.",0,0,0
GSVJ-RTN,"Chairman, Alaska Branch, American Meteorological Society, 1949-51; coordinator and chairman, Emotional Security Programs, Norwalk (Calif.) State Hospital, 1953-54; Community Chest Agent; Chamber of Commerce (Ojai) Committees; PTA.",1,0,0
L6TR-SZQ,"Chairman, Christian Social Relations Committee, 1951-35, 1938 member executive board, 1951-56, Wichita Council of Churches; chairman, Kansas State Sunday Observance Committee, since 1956. 967 ] nee",1,0,0
GSVR-ZTX,"Trustee, Boston Medical Library, 1955-58; member of corporation, New england Deaconess Hospital, 1955; Councilor, Massachusetts Medical Society; general chairman, New England Postgraduate Assembly, since 1958; President, Postgraduate Medical Institute, since 1958.",1,1,0
GSVK-S78,"Chief industrial engineer, Cannosburg Steel & Iron co., 1945; Plant manger, Bohn Aluminium & Brass 1953; director, mangement engineering, New Haven Railroad, 193; vice-president and secreatary, Geroge Elliott Co., Inc., 1958; partner, George Kaufmna & Associates Since 1958.",1,0,0
L228-BVR,"Councilman, Middlebury, Conn.,; member, Committee of Codification of Ordinances, Saddle River, N.J.",0,0,0
GSVL-C1R,"Associate visiting physician, Boston City Hospital, since 1946; assistant professor of medicine, Tufts University School of Medicine, since 1951; instructor of medicine, Harvard Medical School, 1958; associate member in medicine, Beth Israel Hospital, since 1952; senior physician, Newton-Wellesley Hospital, since 1957; editor, Newton-Wellesley Hospital Bulletin, since 1954; member board of directors, Newton-Wellesley Hospital School of Nursing, since 1955; president, Massachusetts Bay Lodge, B'nai B'rith, 1956-57, Greater Boston Medical Society, 1957-58; councillor, Massachusetts Medical Society, since 1957; trustee, Temple Shalom, Newton, since 1957; impartial examiner in internal medicine, Industrial Accident Board, since 1958",1,1,0
GSVC-MYM,"President, Columbia County Teachers Association, vice-president, Reformed Church Consistory; 4-H Club leader; Boy Scout committeeman.",1,0,0
GSVR-TWC,"Member, Juvenile Confernce Committee of west Orange; director, YMCA of the Oranges and Maplewood.",1,0,0
LYNQ-JFN,"Member of board, Institute for International Order,",0,1,0
GMFJ-T91,"Trustee, Cranbrook Institute of Science, since 1956, Associated Universities, Inc. since 1957; vice-president, International Astronomical Union, since 1958; chairman, U.S. Delegation to Tenth General Assembly of International Astronomical Union in Moscow, August, 1958.",1,1,0
GSVJ-ZW8,"Coordinator, Dept. of Liberal Arts, University Extension, University of California.",0,0,0
GSVV-TG8,"Trustee, North Avenue Savings Bank of Cambridge, The Margaret Fuller House, corporator, Cambridgeport Savings Bank, North Avenue Savings Bank, Cambridge YMCA, former director and vicepresident, Cambridge Boy Scouts.",1,1,0
L66S-F9K,"Captain, U. S, Nawal Reserve, team manager, Melrose Little League, 1948-50, scoutmaster, 1950-56, member, Troop Committee, since 1956, Boy Scout Troop 4, Melrose; member, Finance Committee, First Congregational Church, Melrose.",0,1,0
GSVZ-J72,"Instructor and faculty instructor in government, Harvard University, 1936-41; research technician, National Resources Planning Board, 1939-40; economist, National Defense Advisory Commission, 1940, member, 1042-45, deputy program vice-chairman, 1944-45, program vicechairman, 1945, War Production Board; director, Bureau of Reconversion Priorities, Civilian Production Administration, 1945-46, member, USS. Delegation to United Nations Atomic Energy Commission, 1946; consultant to State Department on development of the European Recovery Program (Marshall Plan), 1947-48; director, Program Division, Office of Special Representative in Europe, Economic Cooperation Administration, 1949-50; associate professor of business administration, 1946-47, professor of government and administration, 1947-49, William Ziegler professor of international economic relations, since 1955, Harvard Business School, economic adviser to the Special Assistant to the President, 1950-51; assistant director for programs, Office of the Director for Mutual Security, 1951~52; director, U.S. Operations Mission to the United Kingdom and minister for economic affairs, U.S. Embassy, London, England, 1952-55; consultant to the Committee of Three, North Atlantic Council, 1956; consultant to the Departments of State and Defense and Office of Defense",1,0,0
LTW1-FGN,"Member, Home Service Committee, American Red Cross, 194956; director, 1950-57, vice-president, 1956, Bangor-Brewer Tuberculosis & Health Association; director, Maine Tuberculosis Association, since 1954.",1,0,0
LJHS-M4G,"President, Long Beach Elementary School Administrators, 1943, Long Beach Principals Club, 1945, California Elementary School Principals Association (Southern Section), 1946-48; cubmaster, Cub Pack, No. 207, Long Beach, 1944; chairman, Speakers Bureau, Public Schools Week,",1,0,0
GSVV-951,"Member, board of directors, since 1948, president, 1953-55, Phoenix Symphony Association; president, Visiting Nurse Service, 195052, Maricopa County Legal Aid Society, since 1957; member board of directors, Tucson Festival Society, 1951-57; member board of directors, since 1951, vice-president, since 1957, Phoenix United Fund, vice-president,",1,1,0
LC89-53C,"President, Maunalani Hospital & Convalescent Home.",1,0,0
GSJP-MS7,"First Reader, First Church of Christ, Scientist, Auburn-Lewiston, Maine.",0,0,0
GSVZ-3CY,"Medical professor of military science and tactics, Temple University Medical School, Philadelphia, 1949-1951; clinical associate professor in psychiatry, Louisiana State University, 1957-58.",0,0,0
LDRT-1BG,"Chairman, Disaster Committee, Kennett Square Branch, American Red Cross, Since 1954; Chairman of board, Chester Country Mental Health Clinic, since 1956; vestryman, Episcopal Church of the Advent, Kennett Square, Pa., since 1957.",1,0,0
GSV6-WF3,"Special assistant to Attorney General of the U.S., Dept. of Justice, 1944-45; member, Advisory Committee on Day Care of Children, New York City Commissioner of Health, 1948-53, Trade Regulations Committee, Association of the Bar of the City of New York, 1955-58, chairman, Subcommittee on Developments in the Courts, 1958, secretary, Trade Regulations Committee, Federal Bar Association of New York, New Jersey and Connecticut, 1954-58.",1,1,0
L133-KKR,"Arrangements and reservations chairman, 1955, member, Arrangements Committee, 1956, chairman, Reservations Committee, 19575 Roster Committee, 1958, chapter director, since 1957, treasurer, since 1958, Eastern New England Chapter, National Industrial Advertisers Association.",1,1,0
GSVR-XX5,"Tresurer, Armenian Diocesan Cultural Affairs, 1947, 1948; member, Parish Council, Armenian Church of Bergen County, 1957, 1958.",0,0,0
LRQ8-8KX,"Treasurer, Midwest Region, Amertean Association for the United Nations, 1948-50; director, American Unitarna Association, rgse-st, 723 ]",1,0,0
GSVC-GDX,"Coach, First Marine Division Boxing Team (overseas), 1944~45; recruiting officer, USMC, since 1947; delegate, Marine Corps Reserve Officers Association, 1955-58; division chairman, Cerebral Palsy Drive, 1956; chairman, Nominating Committee, Refrigeration Service Engineers Society, 1956; director, First Marine Division Association, 1958; co-chairman, First Marine Division Association Reunion, 1958; 1st vice-president, Marine Corps Reserve Officers Association, Boston, 1958-59.",1,0,0
GSVZ-36B,"Chairman, Town Finance Committee, Town Personnel Board, Selectman, since March, 1958, Manchester, Mass; director, Beverly YMCA.",1,0,0
LVZF-3LH,"Secretary, Worcester North District Medical Society, 1956-58; obstetrician-gynecologist, Burbank Hospital, Fitchburg, Mass.",0,0,0
LB16-WH2,"Member, Newton Republican City Committee, 1934-41; treasurer, 1949-52, president, since 1957, Hunnewell Club of Newton.",1,0,0
LW3Q-3FP,"Trustee, Park School of Buffalo, 1948-51; secretary, 1951-53, member board of directors, to 1957, Children’s Aid Society, Buffalo, industry division chairman, 1954-55, trustee, 1954-57, Buffalo Community",1,1,0
LZ5L-GRK,"Member, Foreign Trade Committee of Florida, chairman, Forty",1,0,0
GSJX-27K,"Editor (Nineteenth-Century Poetry), Pertodical of the Modern Language Association, 1957-58, member, Supervising Committee, English Institute, since 1957, Editorial Committee, Cornell Studies in English and Cornell Concordances.",0,1,0
GSJP-GS9,"Committeeman, Cub Scout Pack 5, Norumbega Council, secretary, Boy Scout Troop 8, Norumbega Council.",0,0,0
GSVL-DL4,"Vestryman, St. Michael’s P. E. Church, New York City; director, Boys Brotherhood Republic, New York City.",1,0,0
GSVR-YYL,"Trustee, Allendale School, Rochester (N.Y.), 1954-57; director, American Association, Singapore, 1958, Rochester Statistical Association, 1956.",1,1,0
GSVJ-L3T,"Director, Windsor Button Shops.",1,0,0
LYDP-2G7,"Member Boeard of Trustees School District 16, Long Island n.Y., 1946-47; Chairman Board of Governors New york Young Republican Club 1947-48; Chairman Board of governors New york Rebulican Club 1947-48; Commander Stewart Manor Post American Legion 197-48; Sirector of Civil defense garden City N.Y., 1952-57; trustee Garden City garden Cuty since 1957; Chairman committee of trade Assossiation Section Of Antitrust Law, American bar Assossiation 1956, 1957, 1958; Faculty Member Summer Course Institute of Oraganisation management Yale University, 1958.",1,1,0
LVGV-YGB,"Trustee, Ethical Society of Boston.",0,1,0
GSVK-PZR,From vice-president to secretary and member of board of direction of numerous corporations,1,0,0
GSVK-LFJ,"member of democratic ward and city committee, 1957-58; Vice-preesident and member of board of directors, men's Apparel club of new england 1956-58; member board of governors, Newton Squash and tenis clib, 1950-56",0,1,0
LY6Z-ZS9,"Member Weymouth Limited Town Meeting 1950-58; Treasurer, Weymouth Chapter, AmericanNational Red Cross, 1954-58.",0,0,0
M584-WZ4,"President, Secondary School Fund of Greater Chicago, Alamoosook Island Camp, Inc.; board member, Morgan Park Academy, Cooperative Bureau for Teachers; member, Examiners Committee, Advanced",1,1,0
M1KG-QVY,"Director, Wall Street Investing Corporation; treasurer, Child Study Association of America, former trustee, Solebury School, Madison Avenue Presbyterian Church, Peter Bent Brigham Hospital.",1,1,0
LTLF-MRD,"President, board of trustees, Institute of Contemporary Arz, since 1947; chairman of board, since 1952, co-founder, Boston Arts Festival,; incorporator, Massachusetts Memorial Hospitals, since tos1, Roxbury Institution for Savings, since 1955; member, examining committee, Boston Public Library, 1954; trustee, Boston Museum of Fine Arts, since 1954, Rhode Island School of Design, since 1955, Radcliffe College, since 1957; member, 1954, chairman, 1955, Boston Art Commission; past chairman, Planning Board, Town of Marblehead.",1,1,0
GSVD-7Y4,"Treasurer, 1955-58, vice-president, since 1958, Wellesley Community Chest and Council; secretary, Boston Life Insurance and Trust Council, since 1958; vestryman, St. Andrew’s Episcopal Church, Wellesley, ' captain, U.S. Navy Reserve.",1,0,0
LV68-K24,"President, 1957-58, director, 1954-58, Rome Rotary Club; dj. rector, Rome Chamber of Commerce, 1957-58; director, 1954-58, presi dent, 1956, Community Chest of Rome; president, Central New York Per. sonnel Managers’ Association, 1956, president, 1957, director, 1955-58, Rome Club.",1,0,0
GSV2-GRQ,"Assistant Secretary, executive committee, Worcester County Republican Club, 1953-55; incorporator, Children’s Friends Society, since 1957",0,0,0
GSJL-VZT,"Secretary-treasurer, 1943-45, president, 1945, Northwestern Pediatric Society; member, Family and Children’s Service Board, 1945-48; president, Minneapolis Pediatric Society, 1954.",1,0,0
GSVR-ZP8,"Trustee, member, board of directors, ¥MICA, 1948-59; trustee, First Presbyterian Church, Rhode Island Dental Society; past president, Newport Dental Society, 1956-57.",1,1,0
L16N-5M9,"Trustee, First Baptist Church, White Plains, N.Y., since 1952. member, board of directors, Jennie Clarkson Home for Girls, Valhalla, N.Y., since 1953.",0,1,0
LBF7-T4J,"Secretary to Boston District Manager, 1942-47, salesman,",0,0,0
GSVR-THR,"Secretary-treasurer, Reserve Officers Association of Decatur, director, National Society of Accountants for Cooperatives, committeeman, Cub Scouts; member, executive committee, Citizens for Better Government; trustee, First Baptist Church (Decatur).",1,1,0
LYJL-73D,"President, Local 223, american Federation of Teachers, 1948; secretary-treasurer, American Philological Association, 1954-56; secretary, American Council of learned Societies, 1956-57",1,0,0
GSJF-T77,"President, Frederick County Council of Religious Education, 1946-52, Frederick City Ministerial Association; chairman, National Missions Committee, 1946-58; chaplain, Independent Hose Company, 1950-56; member, board of trustees, Hood College, since 1951, General Commission on Chaplains, since 1951; member, Commission on Church and Ministry of United Church of Christ, since 1955.",1,1,0
GSVK-WDG,"President, Silver Lake Local School Board, 1951-57; trustee,",1,1,0
LYM1-DK1,"Director and secretary, Hawk Mountain Sanctuary Association 1938-59.",1,0,0
LTP1-KBK,"Vice-president, 1954-55, member board of trustees, Hyde Park Neighbourhood Club; member board of trustees, Shimer College, 1957-58; member, winnetka Cauus Committee, 1958; member board of directors, Benton House.",1,1,0
LL7T-NJ7,"Director, Contra Costa County Walnut Growers Association, since 1938, Contra Costa County Taxpayers’ Association, since 1952, California Farm Bureau Federation, since 1957; member, Advisory Board for the Promotion of Bartlett Pears, since 1948; member, Program Committee, California Pear Pro-rate, 1953-57; foreman, Contra Costa County Grand Jury, 1956-57.",1,1,0
LBKT-87Y,"Trustee, Lynn Unitarian Church, Lynn, Mass., 1945-48.",0,1,0
GSVJ-D89,"Vice-president, 1952, president, 1954, member, board of directors, 1955, Chicago Book Clinic. ,",1,1,0
LK72-ZJS,"Cub Scoutmaster, Englewood, N.J., 1945-48; deacon, West Side Presbyterian Church, Englewood, N.J. 1946-48; secretary, 19th AMP Class, Harvard Business School, 1951-52; member, Baked Products Committee, Quartermaster Association, 1947; mate, Sea Scout Ship No. 3a, Worthington, Ohio.",0,0,0
LDL8-K5Q,"Director, since 1948, president, 1953-55, Quad-Cities Iowa Post, , American Ordnance Association, First National Bank, Moline; chairman,",1,0,0
GSV2-SNC,"Professor of Patrology, 1946-589, registrar, 1952-58, International Benedictine Institute of St. Anselm, Rome.",0,0,0
LBM7-V3L,"President, Massachusetts State House Press Association, 1957-58.",1,0,0
GS8L-W31,"Treasurer, Lenox Hill Neighborhood Association, St. David's Primary School, New York City.",0,0,0
GSVV-YWF,American And boston Bar Assosiation; Harvard law School Association; Broterhood temple Ohabei Shalom; Aderdour Lodge A.F. & A.M. Phi Beta kappa.,0,0,0
LCMJ-82X,"Assistant secretary and treasurer, Philip M. Tucker Co., 1937-47; assistant trust investment officer, First Pennsylvania Banking & Trust Co., Philadelphia, 1950-56",0,0,0
LB52-SP5,"Director, Merchants National Bank, Since 1948, Salvation Army, since 1951, Manchester Community Chest, since 1955, Manchester rotary Club, since 1956, American Red Cross, Since 1959; trustee, Merchants Savings Bank, Since 1948, First Congregational Church of manchester, since1951, Manchester city Library, since 1954, Colby Jr. College, since 1957; trustee, since 1949, treasurer, since 1952, Gale Home for Aged & Destitute Women; director, Since 1951, member executive committee, since 1957, New Hampshire Fire Insurance Company; director, since 1954, Vice-chairman, 1958, New England Council; chairman, board of trustees, Young Men's Christian association, since 1952; treasurer, Trust Funds, young Women's Christian Association, since 1952; President, daniel Webster Council, 1957, regional vice-chairman, 1958, Boy Scouts of America; member, Executive Committee Trust Division, 1953-56, executive Council, 1958 for three- year term, Committee on Executive Development, since 1955, American Bankers Association; various committes, Mortgage bankers Association, since 1954; Member, executive Council, since 1954, president 1957, New hampshire Bankers association Mutal Saving Banks, since 1957, Committee on Relation with Supervisory Authorities, since 1957; President, Manchester Rotary Club, since 1958.",1,1,0
LV6L-13R,"President, Elizabeth Police Athletic League; member board of directors, St. Elizabeth Hospital; former member and _ president, Elizabeth Board of Works, Elizabeth Planning Board, member of board, Elizabeth Visiting Nurse Association; former member, Northeastern New Jersey Rent Advisory Board (by appointment of the governor); chairman, Elizabeth Charter Study Association; member, officer and campaign chairman, Cancer, Red Cross, Polio Fund Drives.",1,1,0
GSVR-TBK,"Associate clinical professor of pathology, Yale Medical School, chairman, Professional Standards Board, Medical Library Committee; chairman, Tissue Committee, V.A. Hospital, 1953-58, Tumor Board, 1954, 1958.",1,0,0
GSVK-GRW,"Assistant director, Camp Chebacco, 1943-45; director, Hecht House Youth Canteen, 1943-46, Camp Kingswood, 1946; head counselor, Camp Tevya, 1948-58.",0,0,0
GSVV-VJF,"Member, New York Committee, Program for Harvard College, 1958; chairman, New York Class of ’34 Dinner, 1955; chairman, Publicity Committee, since 1955, member, Nominating Committee, 1956, St. James",1,1,0
GSVC-CNG,"President or scribe, various minister's Clubs; chaplia Shawmont Lodge, A.F. & A.M., 1953-54; offices in George and local PTA's director, Star Island Corporation, Isles of Sholas, N.H.",1,0,0
GSVK-FFK,"Rhodes Scholar, 1934-37; instructor and ayntant profesor, yy * 45, senior tutor, Adams Hlouse, 19g2-45, Harvard Univerury, pruteens, since 1945, chairman, History Department, since rogs, Rutgers Univerary, Fulbright professor, E.ngland, togo-so; secretary, New Jersey Rhodes Scholarship Committee, 1954-57; fellow, Ford Foundation, tact ¢*. truare, Solebury School, New Hope, Pa., SINCE 1947.",1,0,0
KJ4L-PPK,"Director, Commercial Ores, Inc., Christiani & Nielsen (Panama), Inc., BASF -(overzee) N.V., Teck-Huges Gold Mines, Lamaque Gold Mines, member, men’s committee, American Museum of Natural History, New York Philharmonic Symphony Society. °",1,1,0
LTH2-FDF,"Director, Neighborhood Club, Bala-Cynwyd, Pa. ‘",1,0,0
LZ1Y-48Y,"Member, various dental committees, New York Academy of",0,0,0
L2J2-2GS,"Member board of directors, John Day Company, Inc., secretary treasurer, Publishers’ Lunch Club, 1945. ;",0,1,0
GSVZ-43R,"Member, board of governors, Hawaiian Sugar Technologists, Hawaii Employers’ Council, chairman, Advisory Board, Hamakua Corps, Salvation Army; chairman, board of trustees, Honokaa County Hospital; chairman, Governor’s Territorial Disaster Committee; past chairman, Hamakua District, Boy Scouts of America; member, Governor’s Advisory Committee, Noxious Weeds.",1,1,0
LHJP-LFX,"Member, Haverford College Corporation, since 1956, P.T.A. Program Committee, Red Hook Central School, 1958; secretary, Troop Committee, Troop 42, B.S.A., 1956-58; chairman, Workshop Planning Committee, New York State Association of Deans and Guidance Personnel, 1958.",1,0,0
LTGR-MXV,"Member, Repulican Town Committee, North Providence, R.I., assistant Proffeser of insurance, Bryant College, Providence, R.I.",0,0,0
LBPY-KRL,"Vice-president and director, Wamsutta Mills, 1948-54, Massachusetts Mohair Plush Company; chairman, Finance Committee, Town of Mattapoisett, Mass., 1951-54; chairman, Red Cross Disaster Committee, 1945-46, member, Finance Committee, Marblehead, Mass.; currently, president and treasurer, Boott Mills, Lowell, Mass., Neisler Mills, Inc., North Carolina; president, Stamford Industries, Inc., Connecticut; vice-president, Monument Mills, and Talbott Mills, Mass., Dana Warp Mills, Inc., Maine, The Gorfund Company, N.Y., Northern Textiles of Lowell, Mass.; director, Proprietors of the Locks and Canals of the Merrimac River, Mass.",1,1,0
GSVR-N4C,"Director, since 1937, member executve committee, 1955-57, Children’s Service Association; director, Sailor's Snug Harbor, 1939, Rogerson House, 1939, Public Relations Society of America, t9$4-55; director, since 1952, president, 1954, New England Chaprer, Public Relations Society of America; trustee, Winsor School, since 1933; director, since. 1955, trustee, since 1957, Institutions for Savings, Roxbury; member,",1,1,0
GSVZ-LCQ,"Associate obstetrician and gynecologist, St. Luke’s Hospital, since 1948, University Hospitals, since 1948; consultant obstetrician and gynecologist, Booth Memorial Hospital, since 1948; assistant obstetrician and gynecologist, Cleveland City Hospital, 1948-56; clinical instructor in obstetrics and gynecology, School of Medicine, Western Reserve University, since 1948; member, advisory board, Alice Hunt Center, since 19§2; assistant secretary, Cleveland Society of Obstetrics and Gynecology, 1953-56; commanding officer, 4th and 256th General Hospitals, USAR, since 1956, colonel, MC, USAR; member board of trustees, Children’s 496 ]",0,1,0
L5X6-KPW,"Secretary, Los Angeles County Heart Association, 1957-58.",0,0,0
GSVR-PDF,"Clerk and member, board of trustees, Beaver Country Day School; mmeber, board of managers, Norfolk House Community Center.",0,1,0
L6JT-JPY,"Financial secretary, 1949-51, steward, Official Board, 1949-51, adviser, Explorer Scouts, 1950-51, Epworth M. E. Church, Detroit, Michigan; president, Health Council, River Rouge, Michigan, 1950-51.",1,0,0
LTPS-BWY,"President, Seattle Personnel Association, 1943, Faculty Men’s Club, Univ. of Washington, 1957-58; president, 1944, trustee, 1945-47, Pacific Northwest Personnel Management Association; member board of trustees, Washington State Mental Hygiene Society, 1942-45.",1,1,0
L1NQ-WYG,"Secretary, 1938-40, chairman, 1940-41, United Republican Fi nance Committee for Metropolitan New York; president, Pennsylvania Economy League, 1946-53; member, Executive Committee, Eisenhower National Finance Committee, 1952, Republican National Finance Committee, 1952-53, Northern California Republican Finance Committee, since 1957; Under Secretary of Commerce for Transportation, 1953-553 trustee, United Seaman’s Fund, 1953-56; chairman, President’s Air Coordinating Committee, 1953-55, Transportation Committee, Office of Defense Mobilization, 1953-55, American Delegation to 1953 Conference of International Civil Aviation Organization at Brighton, England; vice-chairman, Air Navigation Development Board, 1953-55, White House Conference on Highway Safety, 1954, member, National Advisory Committee for Aeronautics, 1953-55, President’s Advisory Committee on \Weather Control, 1954-55; consultant to Department of Commerce, since 1953; member, Mercersburg Academy Alumni Council, since 1955; member board, San Francisco Chapter, American Red Cross, since 1957, San Francisco Bav Area Council, 1957; chairman, San Francisco Pacific Festival, 1958; recipient, San Francisco Aviation Award for 1958; member board, San Francisco Chamber of Commerce; vice-president, American-Australian",1,1,1
LTRX-5WC,"Director, Massachusetts Society for the Prevention of Cruelty to Children; trustee, Boston Home for Incurables.",1,1,0
GSVT-36F,"Member, board of directors, Milford Rotary Club, July, 1958, to October, 1958; member, Tenure Committee, National Education Associa tion, 1951-54.",0,1,0
GSJP-FVN,"President, 1953-54, lifetime director, Photographic Manufacturers and Distributors Association, captain, Photo Team, Combined Jewish Ap peal of Boston, 1955, 1958; vice-president, Brookline High School ParentTeachers Organization, 1957-59.",1,0,0
GSVR-DY7,"Chairman, Parish Committee, First Church in Brookline (Unitarlan), 1941; director, 1954-57, second vice-president, 1958, Back Bay Associates, director, Copley Society, 1954-56, Dedham Historical Society, 1958; chairman, Community Fund Drive, 1954, president, Dedham Federation, 1955; trustee, Boston Arts Festival, 1954-58, member, Parish Committee, First Church in Dedham (Unitarian), 1958; member of council, New England Historic Genealogical Society, 1958.",1,1,0
GSVR-F2J,"Member, Alameda County Central Committee, Independent",0,0,0
LBC7-1GT,"Lieutment colonel, squardron comander, U.S. Air Forec Reserve, Since 1958.",0,0,0
LJPZ-F3T,"Member, School Board, Larchmont-Mamaroneck, N.Y. 1952-<38.",0,1,0
GSV8-TNV,"Town Meeting member (elected), 1939-52 (Milton, Miass.); treasurer, 1940-54, Vice-president, since 1954, Nantucket Maria Mitchell Association; secretary -treasurer, 1951-54, Vice-president, since 1955, Northeastern Bird-Banding Association,",1,0,0
LYN4-TQ2,"Chief counsel, Consumer Division, Office of Price Stabilization, 19§2-§3; assistant cubmaster, Cub Scouts, Silver Spring, Md., 1956.",0,0,0
L6XX-G4H,"Leader, Great Books, 1946, 1950.",0,0,0
G9XL-V1B,"Various offices, National Association of Realtors, since 19343 director, Coolidge Corner Cooperative Bank, 1934-37, Brookline Federal",1,0,0
GSV8-M56,"Associate, Field, Richards & Company, Cincinnati and Cleveland,",0,0,0
L6Q6-VR9,"Cub scoutmaster, Pack 304, La Jolla, Calif., late 1930's, member, several PTA committees, State College; member and/or chairman of many university committees. ,",1,0,0
L144-FWR,"Various positions in professional, business and charitable organizations; none in political parties or fraternal orders.",0,0,0
GSVJ-KV4,"Economist in federal agencies, 1939-50; minister, First Parish (Unitarian), East Bridgewater, since 1956.",0,0,0
GSVV-P4X,"Member board of directors, 1950-55, vice-president, 1952-53, president, 1953-54, Boston Chapter, Society for Advancement of Management; member of choir, Christ Lutheran Church, 1950-55, Centenary Methodist Church, 1955-57; Cub Scout officer, 1953-55; member board of trustees, Wentworth Institute, since 1956, member, administrative board, 1956-58, board of directors, since 1958, Cambridge Consultants.",1,1,0
GSV2-FM6,"Staff surgeon, St. Joseph's Hospital, Lancaster General Hospital, Columbia Hospital; consultant surgeon, Hershey Hospital.",0,0,0
L5YJ-WRH,"Assistant to president, Best & Co., 1932-35; general merchandise manager, Stern Bros., 1936-39; vice-president, Pacific Mills, 1940-55; vicepresident and general manager, Hampton Fabrics, J. P. Stevens, 1956-58 (all of New York City); vice-president, General Management, Howes",1,0,0
LJ2K-4S1,"Secretary, 1950-51, radio chairman, 1952-54, Fall River Ministerial Association; member, Committee on Church Unity, since 1956, Division of Children, Department of Christian Education, since 1955, Diocese of Western Massachusetts; member, North End Area Committee and Public Meetings Committee, Greater Springfield Council of Churches, since 1958. .",1,0,0
GS7R-5J2,"Editor, Digest of the Vergilian Society of America. 1240 ]",0,0,0
LY8D-VVH,"Secretary, Chamber of Commerce, Pioche, Nev., 1943-45; chairman, Downtown Central Committee, Greater Boston Community Chest, 1947-49; member, Special Gifts Division, Unitarian Service Committee, 1950-51.",1,0,0
GSVC-TSX,"Member, Family Service, since 1954, Brockton Council of",0,0,0
GSVC-8PN,"Member, By-Laws Committee, Town of North Reading, 1952; former captain numerous fund drives; president, Men's Club, 1953, copresident (with eife), Couples Club. 1956, Chairman, Father & Sons Night for Men's Club, chairman, Missionary Committee, Union Congregational Church.",1,1,0
LYC4-XGV,"Cub Scout leader, 1954-57; chairman, coal industry, chicago Heart Fund, 1953, retail coal, Chicago Community Fund, 1958; secretary, 1959, director, Chicago Coal Shippers Association; president, Sphere Club, 1958",1,0,0
